Domain,Complaint/ Opinion,Complaint Label,Severity level,Sentiment,Emotion
Transaction Fail,@ICICIBank @ICICIBank_Care what a disappointing start to my day. I have to do an urgent transaction and your app has a forceful update that won't even install. After spending 20 mins trying to get the update installed I deleted the app hoping to reinstall it again but guess what.,1,Disapproval,negative,anger
Transaction Fail,"@Cyberdost @PaytmCybercell @ICICIBank_Care @MyIndusIndBank @tnpoliceoffl @CybercrimeCID
Scam was happened to me in the name of loan the transaction happened through Paytm payments banks it was credited in ICIC bank.paytm was unable to recover the amount.Kindly refer the pic https://t.co/kXD3nrJlrj",1,Accusation,negative,sadness
Transaction Fail,"@ICICIBank_Care I got scammed in the name of loan. The fraud is holding a account on your bank transaction was made From @PaytmBank
It was credited in @ICICIBank_Care. @PaytmBank is not supporting on this issue . please investigate and take legal action 091905003305 on fraud",1,Accusation,negative,anger
Transaction Fail,"Can a bank deduct EMI for a cancelled transaction? I have been told to pay foreclosure amount by customer care. Why the bank is still deducting the EMI when there was no transaction made.
@ICICIBank_Care @ICICIBank",1,Blame,negative,fear
Transaction Fail,"@ICICIBank @ICICIBank_Care 
Getting error during net banking transaction, 
""An error occurred, we are unable to process your request. In case you have done a financial transaction....""",1,No explicit reproach,negative,sadness
Transaction Fail,"@NetflixIndia Authorization charge has not been refunded and its more than a month now.
Netflix executive cannot provide transaction id for the refund and @ICICIBank_Care is asking for transaction id.
Can someone help here.",1,No explicit reproach,negative,sadness
Transaction Fail,"@CRED_support @kunalb11 any update on my complaint I made ?
@RBI . Can you regulate this UPI transaction.. cred and icici and hdfc are not able to complete my 1 payment .@CRED_support @HDFCBank_Cares hdfc 4 bungalows branch .. can you pick this up ??? @ICICIBank_Care",1,Accusation,negative,anger
Transaction Fail,"@ICICIBank_Care @lClClBankcare1 How does logo comes into picture if no transaction was carried out at the middle of night. Does that mean you payment gateways security has gone for a toss, because that's what I believe.",1,Blame,negative,disgust
Transaction Fail,"@ICICIBank_Care @ICICIBank Plz consider this feedback. Even though mobile is in silent mode, imobile makes a sound loudly with a tone for any successful transaction in it. When we are in silent place like office that sound is weird 😣",1,Disapproval,negative,sadness
Transaction Fail,@ICICIBank @ICICIBank_Care Stop cheating ICICI HPCL Coral credit card customers by not providing the entitled cashback even when the transaction is done at HPCL outlets. Your customer care doesn't actually care even with proper proof. Worse experience ever.,1,Disapproval,negative,anger
Transaction Fail,"My a/c has been debited against the purchase of stocks. But i have not done any of these transaction.

Customer care is also not working. Please resolve this and refund my money ASAP @ICICI_Direct @ICICIBank @ICICIBank_Care @RBI @RBIsays 

PFA- Screenshots of the transactions. https://t.co/qHPkpCKbtk",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care so everytime if someone try to make a payment and is short of money in the account for the said transaction, the person will be charged for that? What kind of crap is that? What is the customer's mistake? How dare he try to make a payment without having money?",1,Disapproval,negative,anger
Transaction Fail,"ICICI Bank doesn't care to reverse forex markup and taxes on a credit card fraud transaction. Even after 3 months and numerous discussions, the bank refuses to waive off on unauthorized charges billed.
Refer - SR797584405
@ICICIBank_Care @ICICIBank",1,Accusation,negative,anger
Transaction Fail,@ICICIBank_Care @ICICIBank @UCOBankOfficial Hi Made IMPS transaction from ICICI bank on 31 dec 2021. Amount is neither credited to UCO bank account not revert back to ICICI bank account till now. Please Help,1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care It was my transaction. Misunderstanding. Please DM ME,1,No explicit reproach,negative,sadness
Transaction Fail,"Hi @ICICIBank @ICICIBank_Care 
I want foreclosure of my emi transaction on icici bank amazon pay credit card.
Please guide. Cannot do from imobilepay app",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care hi, i did debit card transaction. First time it was declined, done in second chance. Amount debited twice.

Kindly refund the same. Let me know details you need in dm.",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care @ICICIBank MY transaction got failed due to domestic online transaction is disabled. I don't have ICICI debit card or net banking . How do I activate . If not possible . Tell me process how to stop CREDIT CARD https://t.co/geXJDoiRP2,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care 
Can't transaction through UPI.",1,No explicit reproach,negative,other
Transaction Fail,"@ICICIBank_Care @ICICIBank After ~45 days of investigation on fraud transaction happened in my bank account, i have received a standard reply without any explanation. I am highly disappointed with the response and living with fear of losing my hard earned money.",1,Disapproval,negative,fear
Transaction Fail,"@ICICIBank_Care I've tried one transaction about 5 times since morning and not once has the OTP reached me.. not even late. It just has not arrived on my registered number. At all.

And this is not the first time this is happening. What is going on with ur systems?",1,Accusation,negative,anger
Transaction Fail,"Hey ICICI I'm getting frustrated from icici bank manager and team,I'm ready to refund wrong transaction amount I'm going to bank last 15 days no one helping me and no one giving me proper respond. Please help me out.
@ICICIBank @ICICIBank_Care #sandeepbakshi",1,Accusation,negative,anger
Transaction Fail,@ICICIBank_Care I don't have any accounts in @ICICIBank . Still I'm getting transaction alerts. Could you please look into it ? Check DM. https://t.co/vTSaTEkudQ,1,No explicit reproach,negative,sadness
Transaction Fail,@RBI @PMOIndia @narendramodi @ICICIBank_Care @ICICIBank @DasShaktikanta i had also lodged a Police FIR with ack no 20511210147180 against my ICICI credit card fraud transaction. Still i have been charged by ICICI. They are not following RBI norms.,1,Accusation,negative,sadness
Transaction Fail,"@SBICard_Connect I made 1 transaction of 799.2 rs to purchase a product..cancelled the order after few minutes..i shouldn't be charged a single rupee..but i have been charged 799.2 rs twice..i.e 1598.4..
Didn't expected this cheating from SBI..learn something from @HDFCBank_Cares @ICICIBank_Care",1,Accusation,negative,disgust
Transaction Fail,@ICICIBank @ICICIBank_Care All transactions for Jan 2nd are shown as Jan 3rd in transaction history on netbanking page. Can you check and fix this bug.,1,No explicit reproach,neutral,sadness
Transaction Fail,"@ICICIBank_Care My transaction is being declined/withheld and I'm asked to reach cc to resolve it. Your cc service is all over the place and glitchy, spent $50 on INTL roaming, to gain nothing. Sucks!",1,Disapproval,negative,anger
Transaction Fail,Hi @ICICIBank_Care I had changed my registered mobile number few months back. But I still received transaction SMS on my old mobile number today. Can you please look into this?,1,No explicit reproach,neutral,sadness
Transaction Fail,"Imobile showing 3rd Jan 2022 as transaction date today ! It's bug glitch 
@ICICIBank_Care @ICICIBank 
Also on ATM it's without withdrawal it's generating automated calls to block the card! Spent new year exploring painful solutions!
Plz grown up guys! Also RBI to note it @RBI",1,Blame,negative,anger
Transaction Fail,"@dominos @dominos_india @ICICIBank @ICICIBank_Care 
I was trying to order on #dominos on 31st Dec from #ICICI Bank's iMobile Pay app but the order was not placed and Rs 331 was debited from my account. 
Transaction Id: SB498800
Refund it asap.
#CustomerService #dominospizza",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care Dear Team i got automatic voice call to confirm transactions rs 20000…but I did 8000 transaction 3 times .. hence i selected the decline option.. then the call says card blocked.. kindly check the status.. if it is blocked kindly remove. Thx Details in DM,1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care Sharing the video clip of rejected transaction for my Sapphiro Debit card,1,No explicit reproach,neutral,other
Transaction Fail,@ICICIBank_Care i have issues regarding transaction of my credit card,1,Disapproval,negative,sadness
Transaction Fail,@ICICIBank_Care @babu4696 Then it is fraudulent. If transactions are happening on Sat or Sun then it should show transaction date as per Sat or Sun.,1,Accusation,negative,anger
Transaction Fail,@ICICIBank_Care I made a payment of 50000 using @CRED_club and it was deposited to icici credit card in seconds but still it is showing no update in the card of that transaction. You services sucks. You are at 3rd position which you will lost soon due to poor customer support.,1,Disapproval,negative,disgust
Transaction Fail,@ICICIBank_Care I had done a transaction Which got reversed the next day.After a month again the transaction got reversed .ICICI bank is claiming me to contact to merchant for more details on this transaction.B/w if i had paid the merchant in cash- who authorised bank to reverse,1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care Today I have made merchant transaction through net banking for 3000+Charges but from the merchant end the transaction was unsuccessful but amount has been debited from my account. Please check and initiate refund,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care @ICICIBank @Paytm @ICICIBank @ICICIBank_Care Again same issue this time also, trans get denied and IVR calls for confirmation of trans done by ME... and still the trans not go through, IS THIS A JOKE. Dear Customer, your transaction of Rs.X on Card XX4014 is withheld for security reasons. 😡👎",1,Disapproval,negative,anger
Transaction Fail,@AxisBankSupport I had made a @ICICIBank_Care credit card payment on 1st Jan. Details as below. The transaction failed but the amount got deducted from my account. Can you please help resolve the same. https://t.co/hZ8Dz1lexM,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank @ICICIBank_Care I paid 50k for nps contribution on 31 dec, but not got transaction statement confirmation email/sms yet. Not reflecting in contributions in my nsdl a/c 2. How long wud it take? I need to upload the receipt on co. portal as it actuals' proofs' submission",1,No explicit reproach,negative,sadness
Transaction Fail,Even for corporate salary accounts it @ICICIBank_Care charges ₹23 for ATM transaction if it exceeds May re then 3 transactions a month. Our PM @narendramodi talks about getting people into banking system but such banks just wants loot people.THIS IS A ROBBERY. https://t.co/C4i34kP0al,1,Blame,negative,disgust
Transaction Fail,"@babuji_gr @nsitharaman @ICICIBank_Care @RBI And @icicibank_care , is one of the fastest to deduct the over usage charges(more than 5 transactions) in their ATMs... Immediately after the 6th transaction they debit the amount...

Daylight robbery !!",1,Blame,negative,disgust
Transaction Fail,"@PhonePe_ @PhonePeSupport @ICICIBank_Care 
I have done transaction in phone pay to pay a rent to my landlord through ICICI Bank credit card.
The transaction was failed and amount got deducted.plz refund my money as soon as possible it's too emergency.......",1,No explicit reproach,negative,fear
Transaction Fail,"@PMOIndia @RBI @narendramodi @ICICIBank_Care @ICICIBank Dear RBI Team, i was misguided by ICICI Bank and a fraud transaction was done in my ICICI credit card. ICICI bank committed me to credit the amount. Now they are denying it. Seeking your intervention here.",1,Accusation,negative,fear
Transaction Fail,"@ICICIBank_Care I had a withdrawal of money to another account but money wasn't recieved and my money was debited,please look into this matter.
Transaction Id-SB498800
transaction description-136559447250
Date-31/12/21",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank @ICICIBank_Care hi my this transaction was failed by google pay. So refund this amount by anyhow. at any cost. Poor svc icici first time and so much impressive with ur transfer svc. Refund my amount https://t.co/28bKSkI7BO,1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank @ICICIBank_Care I have done imps transaction just Rs 5 in i mobile app to check
But I faced charge of rs 10.90 i don't why it is happening please help with me",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care i would like to raise charge back for the upi TRANSACTION made on https://t.co/tzz3zGaRjK 2100 amount for deducted from my account but didn't recieved by mahatrafficechallan kindly help urgently. Screenshot attached below https://t.co/d6y0lonXfy,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care @ICICIBank @ABPNews @aajtak @RBI @ConsumerReports @jagograhakjago 
Team, someone changed my phone number from ur credit card records. I did not given request to change my number. This is totally fraud I will not be responsible for any transaction.",1,Blame,negative,anger
Transaction Fail,"@jagograhakjago @consumerforum_ Name: Astik Electronics
Location: Baripada, Mayurbhanj, Odisha, 757001
The merchant has POS machine of @ICICIBank @ICICIBank_Care &amp; @Paytm is demanding 2% extra on card transaction. @RBI please look into it. https://t.co/LKpPWVucAQ",1,Accusation,negative,sadness
Transaction Fail,"@ICICIBank_Care @ICICIBank i am not receiving any sms alerts on transaction (money transfer &amp; scan and pay to merchant) via UPI, from past 20 days
This is very annoying as i have to check bank statement every time to check if the transaction is successful or not
Plz fix this ASAP",1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank @ICICIBank_Care 
Hi, a transaction on my credit card was cancelled. Just wanted to check if it's already processed for reversal as the bill date is 5th of every month. https://t.co/Bf1N9saI7C",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank @ICICIBank_Care 
I request all ppl not to use ICICI cards as ICICI charges for redemption of reward points. 
At one end they promote online transaction to avail reward points and other end they charge when you redeem the same.
#Dont use ICICI card#Vasooli.",1,Accusation,negative,surprise
Transaction Fail,@ICICIBank @ICICIBank_Care @Cybercellindia @RBI Day 53 - Still waiting for redressal of my complaint. The bank is pressuring me to make the payment and bear the loss of a fraud transaction that I was tricked into. Hoping for some cooperation and help. @CareIcicibank @ICICIBank @RBI @Cybercellindia @triveni100100,1,Accusation,negative,fear
Transaction Fail,@ICICIBank @ICICIBank_Care We tried to book tickets of train on 26th dec which was failed transaction and money was deducted. but there are no refunds process have been raised yet or I didn't get any refunds. Kindly help on it. https://t.co/kwwl0YwyE8,1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank @ICICIBank_Care deposited INR 86k at a cash deposit machine (ATM ID- 62821HAR) which failed to complete the transaction and print a receipt. Pls address this ASAP and credit the amount into my account.,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care 
I have a/c with you,but free financial transaction limit is not agreeable.
634301401224.Then we have to switch over towards Cash receivable.Affecting people with lower income group.",1,Disapproval,negative,sadness
Transaction Fail,"@ICICIBank_Care Hi, unable to edit amount in the transaction value in Pockets. Keyboard does not pop up. Deleted app twice and it is up-to-date. https://t.co/isQ8K4UYe2",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care Need help for UPI &amp; Debit card online deduction related, 3 time amount deducted from my account and transaction couldn't get completed requesting refund for the same.
@dominos
Made these transactions using dominos app, worst and slowest app for making payments https://t.co/fBOdG8EUXD",1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank_Care @ICICIBank so pathetic experience once again, got call at least 10 times after saying NO for credit credit, when called today for wrONg transaction done by me  , you stupid #×#×¥¥  customer care is asking me to press 1 2 3 &amp; so on and call got hung up. WORST BANK",1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank_Care Having a senior citizen struggle at a shop to just have 36 paid for hours, with repeated #0084 errors, is not something a customer expects @ICICIBank But GETS
After hours of failed notifications &amp; 1 successful transaction We have a double debit.
Ipal doesn't work",1,Blame,negative,disgust
Transaction Fail,"@ICICIBank_Care Thank you for your concern.
The screenshot do not contain any banking information except transaction ID @ICICIBank_Care  AND name of person linked with Merchant account. Please do necessary action to reach that fraud person.",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care I'm not able to log in to icici personal banking and not able to reset password. Error : mobile number not registered. When I perform any transaction then I'm receiving the transaction messages.,1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care @ICICIBank today we made a IMPS transaction of Rs.14400/- vide References No.692210512 As per my client his account is closed but amount has been debited my account still not refunded... Pl do the needful.,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care hi team, There was a failed transaction with @FederalBankLtd but my account isn't yet credited. Kindly check. I can share UPI reference over DM.",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care @ICICIBank I request something related to one transaction at sector 10 Gurgaon branch. Please know me status. Dm you paper of request.,1,No explicit reproach,negative,sadness
Transaction Fail,@ProsaicView @ICICIBank_Care Thankfully she went straight to the cyber crime cell mins after she realised what was happening Now they've traced one transaction. She also contacted one bank ombudsman too.,1,No explicit reproach,neutral,other
Transaction Fail,"@ICICIBank @ICICIBank_Care I just sent you an email from my email, si.ishaansharma@gmail.com to report a false transaction, kindly check and revert at the earliest possible please.",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care you guys closed a service request for a wrong transaction of Rs 5000 without any communication to me. Now your customer care manager named Tara Ashwini tells me the money will come when it comes. Or I can go to the other bank and sort it myself. Horrible service,1,Accusation,negative,anger
Transaction Fail,@ICICIBank_Care  I am not able to do online transaction from my ICICI credit card and customer care number also not responding,1,Blame,negative,sadness
Transaction Fail,"@ICICIBank_Care getting too many transaction failures with my CC Don't Wana go on calls with ur team and raise dispute
Please get ur services better or else we have to switch on to other banks.
#icicicreditcard",1,Disapproval,negative,disgust
Transaction Fail,"@ICICIBank_Care Please help, my IMPS transaction number 136401602410 got stuck. please do the needful",1,No explicit reproach,neutral,other
Transaction Fail,@ICICIBank_Care Seems your system has wiped out my entire statement before 01-03-2021 both your corp internet banking &amp; InstaBiz app saying no transaction for whatever date range I search for before 01-03-2021.,1,Blame,negative,fear
Transaction Fail,@ICICIBank_Care I am not received cashback as per my transaction amount ...I am @amazonprime member of @amazonIN  not satisfied @ICICIBank services,1,Disapproval,negative,sadness
Transaction Fail,@IDFCFIRST_Help Stop giving the standard responses and tell me who authorized for the direct transaction from my bank account @ICICIBank_Care @ICICIBank,1,No explicit reproach,negative,anger
Transaction Fail,@ICICIBank_Care May I please get the Customer Care's email id? I can't find it in your website and I need help relating to a credit card transaction that I'm unable to understand.,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank @ICICIBank_Care  UPI transaction:135970262326 didn't get credited to merchant, but my account got deducted on 25th December. Passbook on imobile says 27th as transaction date. Mailed to cc, not reply even after 3 business days. Were did my money go??",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care NO WORRY. ENABLED MY HDFC CARD FOR INTRNL TRANSACTION AND WITHIN NEXT SECOND I CUD PAY AMOUNT. ICICI CAN NEVER MATCH HDFC I CAN SAY AFTER THIS INCIDENT. DECIDED TO CANCEL MY ICICI CR CARD NOW,1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank_Care @ICICIBank 
Hey icici bank today I got call from bank and i asked them regarding my atm transaction which was done till 25 th Dec so conversation had been they said Icici bank is not liable for any financial loss they advised me to block
(1/1)",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank_Care I did the transaction on Oswal clothing store dharwad Karnataka.,1,No explicit reproach,neutral,other
Transaction Fail,@amazonpay @ICICIBank credit Card are the worst... Tried n number of times to enable online transaction and failed... Time to get rid of this card... Don't fall for the cashback offer... @amazonIN @ICICIBank_Care,1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank_Care your are just con man in the name of a bank.
I made an international transaction using your CC which got revered within a few minutes and now I’m being charged fee for both debit and credit of the same transaction. Please revert back on urgent basis.",1,Blame,negative,disgust
Transaction Fail,@ICICIBank_Care I have a current account in bangali square branch indore acct. No. 237005500268 bank has deducted 2000 rs charges mentioning bulk transaction charges without any Alert or mail. Complained to bm requested for reversal but no body cares pathetic service,1,Disapproval,negative,disgust
Transaction Fail,"@ICICIBank_Care @ICICIBank @ICICI_Direct @RBI 
I have a Demat account in ICICI bank for 6 years now. When I checked my bank transaction, I found that there is one debit transaction 'DMC/IN30302865312370 DP CHGS TILL NOV-21' on 28-Dec-2021--- INR 619.50 '.",1,No explicit reproach,negative,sadness
Transaction Fail,"@letsblinkit As per your msg, the refund(of failed transaction on 23rd Dec) date 28 dec is gone, you are not even replying neither updating , your official msg are not trustable,,,what kind do service is this...@jagograhakjago @RBI @ICICIBank_Care",1,Disapproval,negative,anger
Transaction Fail,"@ICICIBank_Care i cancelled one emi , so it was showing correct limit but i did one transaction of 6k and it was correct but today again it's showing me limit which is deducted by last two transaction on credit card, HOW?",1,No explicit reproach,negative,surprise
Transaction Fail,"@ICICIBank_Care I am yet to get money from the failed transaction. I was promised that I will get it before 27 dec. today is 28th. Can u please ensure that my money is returned to my account. Being a custodian of my account, please ensure that this kind of lapses should not be.",1,No explicit reproach,negative,sadness
Transaction Fail,"What an amazing bank is @ICICIBank_Care @ICICIBank, lovely bank. Hats off to this bank who will simply block your cards without any intimation, I was in am emergency place trying to do transaction through my card is simply failed and later got to know its blocked.",1,Disapproval,neutral,anger
Transaction Fail,Had a issue with @ICICIBank  transaction (wrong payment sent) and complained it just after few seconds of that ..Got a satisfactory solution from team and told me to wait for approx 30-40 working days..but still i got nothing..@ICICIBank_Care look into it ASAP.,1,No explicit reproach,negative,disgust
Transaction Fail,"@AmazonHelp @ICICIBank_Care @ZeeNewsEnglish @nsitharamanoffc @CNBC_Awaaz Now that both of u are not responsible
For d transaction I think we should meet in d Court I vl see to it that the biggest pvt sec bank and d biggest online site answers dis",1,Blame,negative,anger
Transaction Fail,@akhandbharatvas @ICICIBank_Care Same Msg For me My credit card Amount deducted 17800 Totaly fraud transaction  Dispute Transaction Request Raised But not Refund My money @RBI @ICICIBank @ICICIBank_Care https://t.co/D0YoUitSLE,1,Blame,negative,anger
Transaction Fail,"Transaction I'd is : SB498800
Date : 28th Dec'21.
@ICICIBank @ICICIBank_Care",1,No explicit reproach,neutral,other
Transaction Fail,"@ICICIBank_Care And the intresting thing is, even you didn't send any transaction message or prior notification 😅
Khuli loot macha rakhi hai. 
@PaytmMoney",1,Blame,negative,surprise
Transaction Fail,@ICICIBank_Care URGENT help required I need to raise a concern about my recent transaction....amount is debited but not credited in recipient. Transaction was done through UPI. Please provide me right contact number to report this right now as your customer reps work only till 6.,1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank @ICICIBank_Care  hello, what is your 24by7 customer care number to raise concern on my recent transaction....amount is debited but not credited to Recipient. I am based out of Delhi",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank @ICICIBank_Care @ICICI_Direct I have an account of icici pay later. In this regard i would inform you that, when I do transection from pay later account but the transaction declined. I called many times to icici care but problem still pending. Kindly look into it . https://t.co/ChqfkQPMtN",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care hi, I'm getting otp for credit transaction after 2-3 hours of transaction. It's totally unusual. My friends also have icici bank credit card and they're not facing this issue. It's only me who is facing this issue.
and I'm facing this issue for days. Please look",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care @phonepe_safety @PhonePeSupport I just uninstalled phonepe app,I want to know how some bihar people can know my last transaction
@RBIsays I never shared any details how they know mobile number of my last transaction people.",1,Blame,negative,fear
Transaction Fail,"@ICICIBank_Care 
@ICICIBank 
On 26th December, at 11.49pm, an international transaction was made of 12.99 usd using my card. I have got sms &amp; its reflecting in my card bal &amp; statement. I havnt done this txn. Please look into this issue at the earliest as it seems to be a fraud.",1,Blame,negative,fear
Transaction Fail,"@SBILife @ICICIBank_Care @FinMinIndia @nsitharamanoffc 
Transaction done via using ICICI credit card to SBI Life insurance company, 
Transaction ID-699550, payment is successful and debited, but SBI life insurance company saying amount not yet credited, Then where is my amount 1L",1,Blame,negative,surprise
Transaction Fail,@ICICIBank_Care very bad service customer not responsible you are customer service my concern OTP not received any transaction way please reply,1,Disapproval,negative,sadness
Transaction Fail,"@ICICIBank_Care can you solve my issue of not receiving the bank OTPs, as I can receive the other bank's transaction messages. Please help me as I could not do any transactions with ICICI Card",1,No explicit reproach,negative,sadness
Transaction Fail,@ICICIBank @ICICIBank_Care  i am unable to connect with icici officials regarding this please check transaction deatils and resolve problem each one has 9315 total 18630 rupees,1,No explicit reproach,negative,sadness
Transaction Fail,"Here is the transaction @HDFC_Bank @HDFCBank_Cares . Mobikwik said it is failed transaction. Please, tell me ways to raise a chargeback for the refund? is it possible through phonebanking ? https://t.co/f2wTvh5vUs",1,No explicit reproach,negative,sadness
Transaction Fail,"@HDFC_Bank @HDFCBank_Cares
I have done a transaction of 1517.70 ₹ on 30 dec, Ref number: 896473 but the transaction was failed at Mobikwik and my money got debited successfully through my debit card.Mobikwik is not helping me there, how can I raise a chargeback for a refund?",1,Accusation,negative,sadness
Transaction Fail,"@HDFCBank_Cares @HDFC_Bank 

Hi, i’ve been charged for a non-operational Demat account of mine. It’s not active and I haven’t made a single transaction. I would like to shut this permanently and get my amount refunded. Tried to reach out customer support but was unable to do so.",1,No explicit reproach,negative,sadness
Transaction Fail,This is to bring to HDFC Bank notice that I had a fraud transaction on my savings account. I have spoken to customer service regarding this and I haven’t received any quick resolution process from them. Complaint No.- HYDM0122111622. Thank you. @HDFC_Bank @HDFCBank_Cares https://t.co/byuhiS2Dpl,1,Disapproval,negative,sadness
Transaction Fail,@HDFCBank_Cares Dear sir unable to select transaction,1,No explicit reproach,negative,sadness
Transaction Fail,"@HDFCBank_Cares Hi - I have already used all options mentioned above and also called multiple customer care number. Including one mentioned above! 
No solution.
Finally I have decided to go ahead with cash transaction and CANCEL my credit card. 
Can’t have this headache
Thank you for nothing ..",1,Disapproval,negative,disgust
Transaction Fail,@HDFCBank_Cares Hi i have used my credit card at shop at Hyderabad( Maqdoom brothers) where there is HDFC bank offer of 20% cashback. I have done that transaction on November 27th. That statement generated and bill also paid. Still i haven't received cashback. Can you please LITI,1,No explicit reproach,negative,sadness
Transaction Fail,"@HDFCBank_Cares Dear team, it is not possible contact you or send private message, the above mail ID is registered with your bank, please give reply or any solution through mail. Please check regarding unauthorised transaction and rectify.",1,No explicit reproach,negative,sadness
Transaction Fail,"@HDFC_Bank @HDFCBank_Cares @RBI @SEBI_India #nsdl everytime there is a high value #transaction, #goof_ups keep happening https://t.co/Mhk6MOq2JX",1,No explicit reproach,negative,anger
Transaction Fail,"@HDFCBank_Cares @HDFC_Bank   not able to make any online transaction neft,imps not working.. plz help asap..",1,No explicit reproach,negative,sadness
